Date,Page_Reach
2022-01-01T01:00:00,1837
2022-01-02T01:00:00,2414
2022-01-03T01:00:00,1840
2022-01-04T01:00:00,1464
2022-01-05T01:00:00,1845
2022-01-06T01:00:00,1547
2022-01-07T01:00:00,1512
2022-01-08T01:00:00,2552
2022-01-09T01:00:00,2246
2022-01-10T01:00:00,3666
2022-01-11T01:00:00,2099
2022-01-12T01:00:00,1890
2022-01-13T01:00:00,1366
2022-01-14T01:00:00,1460
2022-01-15T01:00:00,1288
2022-01-16T01:00:00,1558
2022-01-17T01:00:00,1688
2022-01-18T01:00:00,2796
2022-01-19T01:00:00,1520
2022-01-20T01:00:00,1430
2022-01-21T01:00:00,1100
2022-01-22T01:00:00,1036
2022-01-23T01:00:00,1520
2022-01-24T01:00:00,1408
2022-01-25T01:00:00,1353
2022-01-26T01:00:00,1131
2022-01-27T01:00:00,1768
2022-01-28T01:00:00,1372
2022-01-29T01:00:00,2385
2022-01-30T01:00:00,1595
2022-01-31T01:00:00,4478
2022-02-01T01:00:00,2301
2022-02-02T01:00:00,2819
2022-02-03T01:00:00,2401
2022-02-04T01:00:00,1489
2022-02-05T01:00:00,2184
2022-02-06T01:00:00,2376
2022-02-07T01:00:00,8643
2022-02-08T01:00:00,2719
2022-02-09T01:00:00,2079
2022-02-10T01:00:00,3461
2022-02-11T01:00:00,1808
2022-02-12T01:00:00,1491
2022-02-13T01:00:00,1648
2022-02-14T01:00:00,1133
2022-02-15T01:00:00,1091
2022-02-16T01:00:00,2663
2022-02-17T01:00:00,2219
2022-02-18T01:00:00,2138
2022-02-19T01:00:00,1426
2022-02-20T01:00:00,1725
2022-02-21T01:00:00,28732
2022-02-22T01:00:00,20360
2022-02-23T01:00:00,13227
2022-02-24T01:00:00,7987
2022-02-25T01:00:00,6810
2022-02-26T01:00:00,2925
2022-02-27T01:00:00,4795
2022-02-28T01:00:00,3527
2022-03-01T01:00:00,2341
2022-03-02T01:00:00,2225
2022-03-03T01:00:00,2009
2022-03-04T01:00:00,2288
2022-03-05T01:00:00,3117
2022-03-06T01:00:00,2685
2022-03-07T01:00:00,2099
2022-03-08T01:00:00,1440
2022-03-09T01:00:00,1943
2022-03-10T01:00:00,1288
2022-03-11T01:00:00,1273
2022-03-12T01:00:00,823
2022-03-13T01:00:00,1251
2022-03-14T00:00:00,1682
2022-03-15T00:00:00,3319
2022-03-16T00:00:00,2152
2022-03-17T00:00:00,1730
2022-03-18T00:00:00,2347
2022-03-19T00:00:00,1714
2022-03-20T00:00:00,2875
2022-03-21T00:00:00,2993
2022-03-22T00:00:00,3355
2022-03-23T00:00:00,2514
2022-03-24T00:00:00,2144
2022-03-25T00:00:00,4391
2022-03-26T00:00:00,3954
2022-03-27T00:00:00,2501
2022-03-28T00:00:00,2552
2022-03-29T00:00:00,3019
2022-03-30T00:00:00,5185
2022-03-31T00:00:00,8516
2022-04-01T00:00:00,4267
2022-04-02T00:00:00,2601
2022-04-03T00:00:00,2093
2022-04-04T00:00:00,2656
2022-04-05T00:00:00,2264
2022-04-06T00:00:00,2093
2022-04-07T00:00:00,2130
2022-04-08T00:00:00,1251
2022-04-09T00:00:00,1480
2022-04-10T00:00:00,2113
2022-04-11T00:00:00,1998
2022-04-12T00:00:00,3329
2022-04-13T00:00:00,2570
2022-04-14T00:00:00,1501
2022-04-15T00:00:00,1297
2022-04-16T00:00:00,1735
2022-04-17T00:00:00,1000
2022-04-18T00:00:00,1162
2022-04-19T00:00:00,1526
2022-04-20T00:00:00,721
2022-04-21T00:00:00,1659
2022-04-22T00:00:00,1454
2022-04-23T00:00:00,2514
2022-04-24T00:00:00,1664
2022-04-25T00:00:00,1855
2022-04-26T00:00:00,2243
2022-04-27T00:00:00,1617
2022-04-28T00:00:00,1410
2022-04-29T00:00:00,1211
2022-04-30T00:00:00,1925
2022-05-01T00:00:00,2049
2022-05-02T00:00:00,2307
2022-05-03T00:00:00,1837
2022-05-04T00:00:00,2063
2022-05-05T00:00:00,488
2022-05-06T00:00:00,288
2022-05-07T00:00:00,205
2022-05-08T00:00:00,956
2022-05-09T00:00:00,974
2022-05-10T00:00:00,1820
2022-05-11T00:00:00,2147
2022-05-12T00:00:00,3566
2022-05-13T00:00:00,5582
2022-05-14T00:00:00,18353
2022-05-15T00:00:00,9436
2022-05-16T00:00:00,3934
2022-05-17T00:00:00,3815
2022-05-18T00:00:00,3028
2022-05-19T00:00:00,2304
2022-05-20T00:00:00,2598
2022-05-21T00:00:00,1489
2022-05-22T00:00:00,2147
2022-05-23T00:00:00,1309
2022-05-24T00:00:00,4848
2022-05-25T00:00:00,5244
2022-05-26T00:00:00,3948
2022-05-27T00:00:00,3094
2022-05-28T00:00:00,1725
2022-05-29T00:00:00,2118
2022-05-30T00:00:00,17330
2022-05-31T00:00:00,12901
2022-06-01T00:00:00,5229
2022-06-02T00:00:00,5266
2022-06-03T00:00:00,4417
2022-06-04T00:00:00,4017
2022-06-05T00:00:00,3624
2022-06-06T00:00:00,2976
2022-06-07T00:00:00,1668
2022-06-08T00:00:00,2225
2022-06-09T00:00:00,1988
2022-06-10T00:00:00,1314
2022-06-11T00:00:00,1877
2022-06-12T00:00:00,1051
2022-06-13T00:00:00,3036
2022-06-14T00:00:00,2027
2022-06-15T00:00:00,786
2022-06-16T00:00:00,3136
2022-06-17T00:00:00,5937
2022-06-18T00:00:00,7871
2022-06-19T00:00:00,4487
2022-06-20T00:00:00,3477
2022-06-21T00:00:00,2835
2022-06-22T00:00:00,2144
2022-06-23T00:00:00,2591
2022-06-24T00:00:00,2338
2022-06-25T00:00:00,2046
2022-06-26T00:00:00,1751
2022-06-27T00:00:00,2079
2022-06-28T00:00:00,1730
2022-06-29T00:00:00,1751
2022-06-30T00:00:00,2491
2022-07-01T00:00:00,2167
2022-07-02T00:00:00,2213
2022-07-03T00:00:00,1823
2022-07-04T00:00:00,1862
2022-07-05T00:00:00,2063
2022-07-06T00:00:00,2003
2022-07-07T00:00:00,1718
2022-07-08T00:00:00,2288
2022-07-09T00:00:00,2373
2022-07-10T00:00:00,1806
2022-07-11T00:00:00,1485
2022-07-12T00:00:00,1271
2022-07-13T00:00:00,2696
2022-07-14T00:00:00,1301
2022-07-15T00:00:00,1668
2022-07-16T00:00:00,1637
2022-07-17T00:00:00,1892
2022-07-18T00:00:00,1721
2022-07-19T00:00:00,2118
2022-07-20T00:00:00,1586
2022-07-21T00:00:00,1880
2022-07-22T00:00:00,1661
2022-07-23T00:00:00,1993
2022-07-24T00:00:00,5819
2022-07-25T00:00:00,2839
2022-07-26T00:00:00,5775
2022-07-27T00:00:00,5457
2022-07-28T00:00:00,2130
2022-07-29T00:00:00,947
2022-07-30T00:00:00,1825
2022-07-31T00:00:00,2025
2022-08-01T00:00:00,1801
2022-08-02T00:00:00,1096
2022-08-03T00:00:00,1915
2022-08-04T00:00:00,21000
2022-08-05T00:00:00,9264
2022-08-06T00:00:00,2477
2022-08-07T00:00:00,3560
2022-08-08T00:00:00,2788
2022-08-09T00:00:00,2431
2022-08-10T00:00:00,2088
2022-08-11T00:00:00,8189
2022-08-12T00:00:00,5253
2022-08-13T00:00:00,2612
2022-08-14T00:00:00,5744
2022-08-15T00:00:00,5294
2022-08-16T00:00:00,4374
2022-08-17T00:00:00,8569
2022-08-18T00:00:00,8356
2022-08-19T00:00:00,3423
2022-08-20T00:00:00,2207
2022-08-21T00:00:00,1679
2022-08-22T00:00:00,3314
2022-08-23T00:00:00,1518
2022-08-24T00:00:00,1977
2022-08-25T00:00:00,2411
2022-08-26T00:00:00,2431
2022-08-27T00:00:00,1725
2022-08-28T00:00:00,2022
2022-08-29T00:00:00,893
2022-08-30T00:00:00,3515
2022-08-31T00:00:00,2942
2022-09-01T00:00:00,71644
2022-09-02T00:00:00,15611
2022-09-03T00:00:00,4991
2022-09-04T00:00:00,5406
2022-09-05T00:00:00,3466
2022-09-06T00:00:00,16947
2022-09-07T00:00:00,7762
2022-09-08T00:00:00,6061
2022-09-09T00:00:00,9510
2022-09-10T00:00:00,4684
2022-09-11T00:00:00,5240
2022-09-12T00:00:00,6179
2022-09-13T00:00:00,4135
2022-09-14T00:00:00,3630
2022-09-15T00:00:00,2933
2022-09-16T00:00:00,1428
2022-09-17T00:00:00,1573
2022-09-18T00:00:00,966
2022-09-19T00:00:00,3028
2022-09-20T00:00:00,2827
2022-09-21T00:00:00,2088
2022-09-22T00:00:00,2464
2022-09-23T00:00:00,1725
2022-09-24T00:00:00,1668
2022-09-25T00:00:00,1364
2022-09-26T00:00:00,3197
2022-09-27T00:00:00,2255
2022-09-28T00:00:00,2225
2022-09-29T00:00:00,8270
2022-09-30T00:00:00,12195
2022-10-01T00:00:00,3245
2022-10-02T00:00:00,3006
2022-10-03T00:00:00,5580
2022-10-04T00:00:00,4061
2022-10-05T00:00:00,3201
2022-10-06T00:00:00,1531
2022-10-07T00:00:00,1438
2022-10-08T00:00:00,4196
2022-10-09T00:00:00,5130
2022-10-10T00:00:00,5264
2022-10-11T00:00:00,5543
2022-10-12T00:00:00,2494
2022-10-13T00:00:00,1887
2022-10-14T00:00:00,985
2022-10-15T00:00:00,2298
2022-10-16T00:00:00,1243
2022-10-17T00:00:00,469
2022-10-18T00:00:00,337
2022-10-19T00:00:00,403
2022-10-20T00:00:00,2811
2022-10-21T00:00:00,3549
2022-10-22T00:00:00,18608
2022-10-23T00:00:00,49891
2022-10-24T00:00:00,19997
2022-10-25T00:00:00,6257
2022-10-26T00:00:00,6311
2022-10-27T00:00:00,8436
2022-10-28T00:00:00,6749
2022-10-29T00:00:00,1912
2022-10-30T00:00:00,2457
2022-10-31T00:00:00,763
2022-11-01T00:00:00,1632
2022-11-02T00:00:00,3289
2022-11-03T00:00:00,1539
2022-11-04T00:00:00,6732
2022-11-05T00:00:00,7808
2022-11-06T00:00:00,8972
2022-11-07T01:00:00,8980
2022-11-08T01:00:00,5348
2022-11-09T01:00:00,4597
2022-11-10T01:00:00,3391
2022-11-11T01:00:00,1818
2022-11-12T01:00:00,1117
2022-11-13T01:00:00,1126
2022-11-14T01:00:00,1828
2022-11-15T01:00:00,1402
2022-11-16T01:00:00,3880
2022-11-17T01:00:00,4655
2022-11-18T01:00:00,2715
2022-11-19T01:00:00,4105
2022-11-20T01:00:00,2967
2022-11-21T01:00:00,2815
2022-11-22T01:00:00,4211
2022-11-23T01:00:00,4259
2022-11-24T01:00:00,12758
2022-11-25T01:00:00,9788
2022-11-26T01:00:00,2929
2022-11-27T01:00:00,6246
2022-11-28T01:00:00,2521
2022-11-29T01:00:00,2917
2022-11-30T01:00:00,4150
2022-12-01T01:00:00,6910
2022-12-02T01:00:00,1324
2022-12-03T01:00:00,1721
2022-12-04T01:00:00,3019
2022-12-05T01:00:00,2591
2022-12-06T01:00:00,1749
2022-12-07T01:00:00,2605
2022-12-08T01:00:00,2835
2022-12-09T01:00:00,3054
2022-12-10T01:00:00,1468
2022-12-11T01:00:00,2827
2022-12-12T01:00:00,8848
2022-12-13T01:00:00,5186
2022-12-14T01:00:00,6443
2022-12-15T01:00:00,3418
2022-12-16T01:00:00,12150
2022-12-17T01:00:00,9393
2022-12-18T01:00:00,4616
2022-12-19T01:00:00,3907
2022-12-20T01:00:00,3187
2022-12-21T01:00:00,3245
2022-12-22T01:00:00,6607
2022-12-23T01:00:00,3757
2022-12-24T01:00:00,3402
2022-12-25T01:00:00,1364
2022-12-26T01:00:00,852
2022-12-27T01:00:00,1053
2022-12-28T01:00:00,1161
2022-12-29T01:00:00,2839
2022-12-30T01:00:00,4157
2022-12-31T01:00:00,1046
